"Year","Roll Call","Vote Name","Issues","Vote"
"2021","385","Transformative Climate, Jobs, and Justice Investments (2x Score)","Climate Change, Air, Clean Energy, Environmental Justice, Transportation, Public Lands/Forests, Water, Other","-"
"2021","385","Transformative Climate, Jobs, and Justice Investments","Climate Change, Air, Clean Energy, Drilling, Environmental Justice, Public Lands/Forests, Transportation, Water, Other","-"
"2021","247","Pro-Environment Funding Package","Other, Climate Change, Clean Energy, Clean Air, Clean Water, Environmental Justice","-"
"2021","208","Investing in Transportation and Water Infrastructure","Climate Change, Transportation, Water, Clean Energy, Environmental Justice","-"
"2021","206","Building Climate-resilient Wastewater Infrastructure","Water, Climate Change","-"
"2021","201","Investing in Climate-Smart and Pro-Wildlife Infrastructure","Transportation, Climate Change, Wildlife","-"
"2021","185","Repealing Assault on Methane Pollution Safeguards","Climate Change, Dirty Energy","-"
"2020","138","Investing in Climate-Ambitious Infrastructure","Climate Change, Clean Energy, Transportation, Water, Environmental Justice","-"
"2020","54","Emergency and Climate Disaster Aid for Puerto Rico","Climate Change","-"
"2019","701","USMCA Trade Deal","Climate Change, Other","-"
"2019","408","Pro-Environment Funding Bill","Climate Change, Lands/Forests, Clean Energy","-"
"2019","385","Methane Pollution Safeguards","Climate Change, Dirty Energy, Drilling","-"
"2019","383","Blocking the EPA from Reducing Carbon Pollution","Climate Change","-"
"2019","381","Stopping Carbon Pollution Limits for Power Plants","Climate Change","-"
"2019","367","Boosting Clean Energy and Climate Funding","Clean Energy, Climate Change","-"
"2019","362","Ignoring the Costs of Climate Change","Climate Change","-"
"2019","184","Keeping America's Commitment to the Paris Climate Agreement","Climate Change","-"
"2019","181","Addressing Climate Change's Damages","Climate Change","-"
"2019","175","Recognizing the Need for Climate Justice","Climate Change","-"
"2018","392","Undermining NEPA Review in Liquefied Natural Gas Projects","Climate Change, Dirty Energy, Drilling","-"
"2018","390","Minimizing Methane Pollution","Climate Change, Clean Air","-"
"2018","363","Anti-Climate Solutions Resolution","Climate Change","-"
