Island Alpha,Aou,Year,Plot,Productivity_Type,Nest,Hatch_Order,BBL_Number,LGR
EER,COTE,2016,Cabin Plot,Fenced Plot,3,A,1332-61974,7.730769231
EER,COTE,2016,Cabin Plot,Fenced Plot,3,B,1332-61840,7.392523364
EER,COTE,2016,Cabin Plot,Fenced Plot,4,A1,1332-61810,6.5
EER,COTE,2016,Cabin Plot,Fenced Plot,6,A,1332-61811,6.275862069
EER,COTE,2016,Cabin Plot,Fenced Plot,6,B,1332-61838,10.35514019
EER,COTE,2016,Cabin Plot,Fenced Plot,7,A,1332-61975,8.205607477
EER,COTE,2016,Cabin Plot,Fenced Plot,7,B,1332-61839,5
EER,COTE,2016,Cabin Plot,Fenced Plot,8,A,1332-61812,4.844827586
EER,COTE,2016,Cabin Plot,Fenced Plot,8,B,1332-61837,4.626168224
EER,COTE,2016,Cabin Plot,Fenced Plot,9,A,1332-61813,6.775862069
EER,COTE,2016,Cabin Plot,Fenced Plot,9,B,1332-61836,8.5
EER,COTE,2016,Cabin Plot,Fenced Plot,10,A,1332-61814,7.810344828
EER,COTE,2016,Cabin Plot,Fenced Plot,11,B,1332-62000,7.75
EER,COTE,2016,Northeast Plot,Fenced Plot,1,A,1332-75022,7.448598131
EER,COTE,2016,Northeast Plot,Fenced Plot,1,B,1332-61854,5.263157895
EER,COTE,2016,Northeast Plot,Fenced Plot,1,C,1332-61858,3.781954887
EER,COTE,2016,Northeast Plot,Fenced Plot,2,A,1332-61817,7.24137931
EER,COTE,2016,Northeast Plot,Fenced Plot,2,B,1332-75023,6.563909774
EER,COTE,2016,Northeast Plot,Fenced Plot,3,A,1332-61844,7.102803738
EER,COTE,2016,Northeast Plot,Fenced Plot,4,A,1332-61818,6.830188679
EER,COTE,2016,Northeast Plot,Fenced Plot,4,B,1332-61842,7.719626168
EER,COTE,2016,Northeast Plot,Fenced Plot,5,B,1332-61987,7.869158879
EER,COTE,2016,Northeast Plot,Fenced Plot,6,A,1332-61819,7.965517241
EER,COTE,2016,Northeast Plot,Fenced Plot,6,B,1332-61841,8.411214953
EER,COTE,2016,Northeast Plot,Fenced Plot,6,C,1332-61852,7.906015038
EER,COTE,2016,Northeast Plot,Fenced Plot,7,A,1332-61958,8.060150376
EER,COTE,2016,Northeast Plot,Fenced Plot,8,A,1332-75024,9.289719626
EER,COTE,2016,Northeast Plot,Fenced Plot,8,B,1332-61855,7.763157895
EER,COTE,2016,Northeast Plot,Fenced Plot,10,A,1332-61845,7.551401869
EER,COTE,2016,Northeast Plot,Fenced Plot,10,B,1332-75028,7.778195489
EER,COTE,2016,Northeast Plot,Fenced Plot,11,A,1332-75025,8.278195489
EER,COTE,2016,Northeast Plot,Fenced Plot,12,A,1332-75027,7.631578947
EER,COTE,2016,Northeast Plot,Fenced Plot,12,B,1332-61859,3.394736842
EER,COTE,2016,Northeast Plot,Fenced Plot,13,A,1332-61957,6.763157895
EER,COTE,2016,Northeast Plot,Fenced Plot,13,B,1332-61988,4.91588785
EER,COTE,2016,Northeast Plot,Fenced Plot,13,C,1332-61816,5.293103448
EER,COTE,2016,Northeast Plot,Fenced Plot,14,B,1332-75081,2
EER,COTE,2016,Northwest Plot,Fenced Plot,1,A,1332-61977,7.476635514
EER,COTE,2016,Northwest Plot,Fenced Plot,1,B,1332-61978,7.074766355
EER,COTE,2016,Northwest Plot,Fenced Plot,3,B,1332-61980,7.411214953
EER,COTE,2016,Northwest Plot,Fenced Plot,6,A,1332-61824,8.158878505
EER,COTE,2016,Northwest Plot,Fenced Plot,6,B,1332-75047,5.845864662
EER,COTE,2016,Southwest Plot,Fenced Plot,1,A,1332-61961,8.409774436
EER,COTE,2016,Southwest Plot,Fenced Plot,2,A,1332-75062,8.703007519
EER,COTE,2016,Southwest Plot,Fenced Plot,3,A,1332-61981,8.065420561
EER,COTE,2016,Southwest Plot,Fenced Plot,3,B,1332-61827,7.75862069
EER,COTE,2016,Southwest Plot,Fenced Plot,4,A,1332-75049,8.165413534
EER,COTE,2016,Southwest Plot,Fenced Plot,4,B,1332-61862,7.921052632
EER,COTE,2016,Southwest Plot,Fenced Plot,5,A,1332-61806,8.637931034
EER,COTE,2016,Southwest Plot,Fenced Plot,6,A,1332-61828,8.803738318
EER,COTE,2016,Southwest Plot,Fenced Plot,6,B,1332-61863,8.056390977
EER,COTE,2016,Southwest Plot,Fenced Plot,7,B,1332-61860,8.279329609
EER,COTE,2016,Southwest Plot,Fenced Plot,8,A,1332-75051,7.458646617
EER,COTE,2016,Southwest Plot,Fenced Plot,9,A,1332-61983,8.38317757
EER,COTE,2016,Southwest Plot,Fenced Plot,9,B,1332-61805,7.172413793
EER,COTE,2016,Southwest Plot,Fenced Plot,9,C,1332-61835,9.429906542
EER,COTE,2016,Southwest Plot,Fenced Plot,10,A,1332-61804,6.764150943
EER,COTE,2016,Southwest Plot,Fenced Plot,11,A,1332-75032,9.736842105
EER,COTE,2016,Southwest Plot,Fenced Plot,11,B,1332-75052,8.112781955
EER,COTE,2016,Southwest Plot,Fenced Plot,12,A,1332-61826,7.965517241
EER,COTE,2016,Southwest Plot,Fenced Plot,12,B,1332-75034,6.299065421
EER,COTE,2016,Southwest Plot,Fenced Plot,13,A,1332-61808,8.245283019
EER,COTE,2016,Southwest Plot,Fenced Plot,13,B,1332-61833,8.447368421
EER,COTE,2016,Southwest Plot,Fenced Plot,15,A,1332-61984,9
EER,COTE,2016,Southwest Plot,Fenced Plot,15,B,1332-61807,6.457943925
EER,COTE,2016,Southwest Plot,Fenced Plot,16,B,1332-61986,10.11214953
EER,COTE,2016,Southwest Plot,Fenced Plot,17,A,1332-61809,6.990566038
EER,COTE,2016,Southwest Plot,Fenced Plot,17,B,1332-61832,8.315789474
EER,COTE,2016,Southwest Plot,Fenced Plot,18,A,1332-75063,5.872180451
EER,COTE,2016,Southwest Plot,Fenced Plot,18,B,1332-75074,2.12295082
EER,COTE,2016,Southwest Plot,Fenced Plot,18,C,1332-75073,1.307377049
