Island Alpha,Aou,Year,Plot,Productivity_Type,Nest,Hatch_Order,BBL_Number,LGR
JI,COTE,2016,Meadow Plot,Fenced Plot,1,A,1332-52332,7.864864865
JI,COTE,2016,Meadow Plot,Fenced Plot,1,B,1332-52347,6.018292683
JI,COTE,2016,Meadow Plot,Fenced Plot,2,A,1332-52345,5.512195122
JI,COTE,2016,Meadow Plot,Fenced Plot,3,A1,1332-52381,7.464285714
JI,COTE,2016,Meadow Plot,Fenced Plot,4,A,1332-52293,6.765217391
JI,COTE,2016,Meadow Plot,Fenced Plot,4,B,1332-52306,5.742857143
JI,COTE,2016,Meadow Plot,Fenced Plot,5,A,1332-52284,8.131386861
JI,COTE,2016,Meadow Plot,Fenced Plot,5,B,1332-52292,9.060869565
JI,COTE,2016,Meadow Plot,Fenced Plot,6,A1,1332-52331,6.268292683
JI,COTE,2016,Meadow Plot,Fenced Plot,7,A,1332-52285,6.747826087
JI,COTE,2016,Meadow Plot,Fenced Plot,7,B,1332-52290,9.512048193
JI,COTE,2016,Meadow Plot,Fenced Plot,8,A,1332-52362,6.075342466
JI,COTE,2016,Meadow Plot,Fenced Plot,8,B,1332-52380,6.225641026
JI,COTE,2016,Meadow Plot,Fenced Plot,9,A,1332-52291,7.67826087
JI,COTE,2016,Meadow Plot,Fenced Plot,9,B,1332-52305,6.421348315
JI,COTE,2016,Meadow Plot,Fenced Plot,12,A,1332-29391,9
JI,COTE,2016,Meadow Plot,Fenced Plot,12,B,1332-29392,3.5
JI,COTE,2016,Nomad Plot,Fenced Plot,1,A,1332-52309,6.058035714
JI,COTE,2016,Nomad Plot,Fenced Plot,1,B,1332-52322,9.482142857
JI,COTE,2016,Nomad Plot,Fenced Plot,3,A,1332-52286,7.921348315
JI,COTE,2016,Nomad Plot,Fenced Plot,3,B,1332-52287,8.533180778
JI,COTE,2016,Nomad Plot,Fenced Plot,4,A,1332-52374,6.360902256
JI,COTE,2016,Nomad Plot,Fenced Plot,4,B,1332-52390,5.142857143
JI,COTE,2016,Nomad Plot,Fenced Plot,5,A,1332-52338,6.473684211
JI,COTE,2016,Nomad Plot,Fenced Plot,5,B,1332-52339,7.859813084
JI,COTE,2016,Nomad Plot,Fenced Plot,5,C,1332-52373,7.484962406
JI,COTE,2016,Nomad Plot,Fenced Plot,6,A,1332-52311,5.415178571
JI,COTE,2016,Nomad Plot,Fenced Plot,6,B,1332-52323,6.919642857
JI,COTE,2016,Nomad Plot,Fenced Plot,8,A,1332-52324,7.857142857
JI,COTE,2016,Nomad Plot,Fenced Plot,9,A,1332-52325,7.775862069
JI,COTE,2016,Nomad Plot,Fenced Plot,10,A,1332-52297,7.959821429
JI,COTE,2016,Nomad Plot,Fenced Plot,10,B,1332-52326,4.293103448
JI,COTE,2016,Nomad Plot,Fenced Plot,11,A,1332-29394,4.45
JI,COTE,2016,NW Plot,Fenced Plot,1,A,1332-52289,7.862700229
JI,COTE,2016,NW Plot,Fenced Plot,2,A,1332-52396,3.619047619
JI,COTE,2016,NW Plot,Fenced Plot,3,A,1332-52340,6.862068966
JI,COTE,2016,NW Plot,Fenced Plot,5,A,1332-52354,6.078947368
JI,COTE,2016,NW Plot,Fenced Plot,5,B,1332-52355,6.37593985
