Island Alpha,Aou,Year,Plot,Productivity_Type,Nest,Hatch_Order,BBL_Number,LGR
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,1,A,1332-66266,8
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,1,B,1332-66265,4.65
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,2,A,1332-66232,7.662162162
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,2,B,1332-66250,7.557142857
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,4,A,1332-66264,6.385714286
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,4,B,1332-66279,5.75
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,5,A,1332-66283,6.8
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,5,B,1332-66300,4.771428571
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,6,A,1332-66298,5.7
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,6,B,1332-66307,4.15
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,7,A,1332-66297,4.871428571
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,7,B,1332-66309,4.5
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,8,A,1332-66280,8.75
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,8,B,1332-66281,7.55
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,8,C,1332-66310,7.9
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,9,A,1332-66308,3.05
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,9,B,1332-66325,3.842857143
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,10,A,1332-66282,6.4
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,10,B,1332-66299,4.042857143
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,10,C,1332-66311,2.8
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,11,A,1332-66267,5.242857143
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,11,B,1332-66301,5.85
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,12,A,1332-66346,3.628571429
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,12,C,1332-66353,0.1
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,13,A,1332-66348,2.95
MRNWR,COTE,2016,Enclosure 3,Fenced Plot,14,B,1332-66366,1.757142857
