Island Alpha,Aou,Year,Plot,Productivity_Type,Nest,Hatch_Order,BBL_Number,LGR
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,1,A,1332-59636,4.142857143
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,1,B,1332-59637,2.547619048
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,2,A,1332-59643,7
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,2,B,1332-59650,5.213114754
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,3,A,1332-59658,7.3
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,3,B,1332-59679,6.043478261
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,5,A,1332-59680,6.07518797
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,5,B,1332-66703,7.909774436
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,6,A,1332-59681,5.203007519
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,6,B,1332-66702,7.864661654
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,7,A,1332-59661,6.65
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,7,B,1332-59662,5.95
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,8,A,1332-59660,7.17699115
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,9,A,1332-59682,5.744360902
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,9,B,1332-66706,4.457943925
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,11,A,1332-66720,8.549019608
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,11,B,1332-66721,7.610465116
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,11,C,1332-66738,6.754464286
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,12,B,1332-66704,6.868421053
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,12,C,1332-66740,8.132075472
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,13,A,1332-66741,7.428571429
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,13,B,1332-66742,6.232142857
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,14,A,1332-66735,5.552631579
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,15,B,1332-66763,6.1
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,16,A,1332-66755,6.43442623
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,16,B,1332-66762,5.55
OG,COTE,2016,Bank Swallow Plot,Fenced Plot,17,A,1332-59659,1.2
OG,COTE,2016,Diagon Alley,Fenced Plot,1,A,1332-59639,5.682926829
OG,COTE,2016,Diagon Alley,Fenced Plot,1,B,1332-59638,7.542682927
OG,COTE,2016,Diagon Alley,Fenced Plot,2,A1,1332-59640,8.263157895
OG,COTE,2016,Diagon Alley,Fenced Plot,3,A,1332-59641,9.44109589
OG,COTE,2016,Diagon Alley,Fenced Plot,3,B,1332-59645,8.542682927
OG,COTE,2016,Diagon Alley,Fenced Plot,4,A,1332-59700,8.05
OG,COTE,2016,Diagon Alley,Fenced Plot,4,B,1332-59646,9.3
OG,COTE,2016,Diagon Alley,Fenced Plot,6,A,1332-59692,6.903225806
OG,COTE,2016,Diagon Alley,Fenced Plot,6,B,1332-59693,5.981865285
OG,COTE,2016,Diagon Alley,Fenced Plot,7,A,1332-59691,5.304511278
OG,COTE,2016,Diagon Alley,Fenced Plot,7,B,1332-66714,6.830827068
OG,COTE,2016,Diagon Alley,Fenced Plot,9,B,1332-66715,7.733333333
OG,COTE,2016,Diagon Alley,Fenced Plot,10,A,1332-66726,7.799107143
OG,COTE,2016,Diagon Alley,Fenced Plot,11,A,1332-66770,2.25
OG,COTE,2016,Elysium Plot,Fenced Plot,1,A,1332-59676,8.430327869
OG,COTE,2016,Elysium Plot,Fenced Plot,1,B,1332-59677,7.631147541
OG,COTE,2016,Elysium Plot,Fenced Plot,1,C,1332-66717,3.5
OG,COTE,2016,Elysium Plot,Fenced Plot,2,A,1332-59678,7.671794872
OG,COTE,2016,Elysium Plot,Fenced Plot,2,B,1332-66718,6.853383459
OG,COTE,2016,Elysium Plot,Fenced Plot,3,A,1332-59656,7.520491803
OG,COTE,2016,Elysium Plot,Fenced Plot,3,B,1332-59675,7.971311475
OG,COTE,2016,Elysium Plot,Fenced Plot,5,A,1332-66748,6.330827068
OG,COTE,2016,Elysium Plot,Fenced Plot,5,B,1332-66753,3.786885246
OG,COTE,2016,Fletcher Christian,Fenced Plot,1,A,1332-59647,9.95
OG,COTE,2016,Fletcher Christian,Fenced Plot,1,B,1332-59651,8.360655738
OG,COTE,2016,Fletcher Christian,Fenced Plot,2,A,1332-66709,5.18699187
OG,COTE,2016,Fletcher Christian,Fenced Plot,2,B,1332-66710,5.334586466
OG,COTE,2016,Fletcher Christian,Fenced Plot,3,A,1332-59684,7.088235294
OG,COTE,2016,Fletcher Christian,Fenced Plot,4,B,1332-59686,8.385869565
OG,COTE,2016,Fletcher Christian,Fenced Plot,5,A,1332-59664,6.077868852
OG,COTE,2016,Fletcher Christian,Fenced Plot,5,B,1332-59687,5.30075188
OG,COTE,2016,Fletcher Christian,Fenced Plot,6,A,1332-66707,6.390243902
OG,COTE,2016,Fletcher Christian,Fenced Plot,6,B,1332-66744,6.764150943
OG,COTE,2016,Fletcher Christian,Fenced Plot,7,A,1332-66723,6.710526316
OG,COTE,2016,Fletcher Christian,Fenced Plot,7,B,1332-66745,6.330827068
OG,COTE,2016,Fletcher Christian,Fenced Plot,8,A,1332-66768,3.671428571
OG,COTE,2016,Fletcher Christian,Fenced Plot,8,B,1332-66769,3.8
