Island Alpha,Aou,Year,Plot,Productivity_Type,Nest,Hatch_Order,BBL_Number,LGR
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,1,A,1332-52486,7.485714286
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,1,B,1332-52487,5.471428571
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,1,C,1332-66903,7.25
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,2,A,1332-66904,5.7
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,2,B,1332-66933,6.185714286
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,3,A,1332-66934,6.2
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,3,B,1332-66935,7.25
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,3,C,1332-66973,6.3
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,4,B,1332-66946,6.65
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,5,A,1332-52488,5.957142857
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,5,B,1332-52489,3.1
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,5,C,1332-66905,1
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,6,A,1332-66975,5.721311475
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,7,A,1332-66945,5.6
PINWR,COTE,2016,Beach 2 Plot,Fenced Plot,7,B,1332-66974,3.299065421
PINWR,COTE,2016,Beach Plot,Fenced Plot,1,A,1332-66925,7.585714286
PINWR,COTE,2016,Beach Plot,Fenced Plot,1,B,1332-66926,7.571428571
PINWR,COTE,2016,Beach Plot,Fenced Plot,2,A,1332-52479,3.6
PINWR,COTE,2016,Beach Plot,Fenced Plot,2,B,1332-52480,4.285714286
PINWR,COTE,2016,Beach Plot,Fenced Plot,3,A,1332-52482,7.171428571
PINWR,COTE,2016,Beach Plot,Fenced Plot,3,B,1332-66901,6.65
PINWR,COTE,2016,Beach Plot,Fenced Plot,4,A,1332-52499,7.785714286
PINWR,COTE,2016,Beach Plot,Fenced Plot,4,B,1332-52500,6.885714286
PINWR,COTE,2016,Beach Plot,Fenced Plot,5,A,1332-66981,10.71428571
PINWR,COTE,2016,Beach Plot,Fenced Plot,5,B,1332-66989,4.887850467
PINWR,COTE,2016,Beach Plot,Fenced Plot,6,A1,1332-52481,6.15
PINWR,COTE,2016,Beach Plot,Fenced Plot,7,A,1332-66993,4.130841121
PINWR,COTE,2016,Beach Plot,Fenced Plot,8,A,1332-66996,1.272108844
PINWR,COTE,2016,Beach Plot,Fenced Plot,8,B,1332-67000,0.231292517
PINWR,COTE,2016,Beach Plot,Fenced Plot,9,A,1332-66999,3.161764706
PINWR,COTE,2016,Breezy Plot,Fenced Plot,1,A,1332-52470,6.308035714
PINWR,COTE,2016,Breezy Plot,Fenced Plot,1,B,1332-52478,6.910755149
PINWR,COTE,2016,Breezy Plot,Fenced Plot,2,A,1332-52461,7.762295082
PINWR,COTE,2016,Breezy Plot,Fenced Plot,2,B,1332-52468,8
PINWR,COTE,2016,Breezy Plot,Fenced Plot,3,A,1332-52498,7.624713959
PINWR,COTE,2016,Breezy Plot,Fenced Plot,3,B,1332-66921,6.843137255
PINWR,COTE,2016,Breezy Plot,Fenced Plot,4,A,1332-66922,6.661764706
PINWR,COTE,2016,Breezy Plot,Fenced Plot,4,B,1332-66923,4.1
PINWR,COTE,2016,Breezy Plot,Fenced Plot,5,A,1332-66969,4.547619048
PINWR,COTE,2016,Breezy Plot,Fenced Plot,5,B,1332-66980,6.592920354
PINWR,COTE,2016,Breezy Plot,Fenced Plot,6,A1,1332-66970,7.862831858
PINWR,COTE,2016,Breezy Plot,Fenced Plot,7,A,1332-52462,7.444444444
PINWR,COTE,2016,Breezy Plot,Fenced Plot,7,B,1332-52469,7.428571429
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,1,A,1332-66908,7.191176471
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,1,B,1332-66909,5.659340659
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,1,C,1332-66947,3.853982301
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,2,A,1332-52472,5.234636872
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,2,B,1332-52473,5.853932584
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,2,C,1332-66912,4.223021583
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,3,A,1332-52463,6.391891892
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,3,B,1332-52464,4.067567568
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,3,C,1332-52491,4.480392157
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,4,A,1332-52457,3.986842105
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,4,B,1332-52465,5.607142857
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,5,A,1332-66910,5.995098039
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,5,B,1332-66911,5.06372549
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,5,C,1332-66948,6.85483871
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,6,A,1332-66949,5.397058824
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,6,B,1332-66950,3.5
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,7,A,1332-66988,3.982758621
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,8,A,1332-66986,7.030973451
PINWR,COTE,2016,Light Tower North Plot,Fenced Plot,8,C,1332-66994,6.476190476
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,1,A,1332-66915,7.964285714
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,1,B,1332-66958,7.279411765
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,1,C,1332-66959,1.773333333
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,2,A,1332-66951,5.411504425
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,2,B,1332-66952,5.853982301
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,2,C,1332-66976,0.612903226
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,3,A,1332-66913,5.151960784
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,3,B,1332-66914,6.308823529
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,3,C,1332-66953,5.402654867
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,4,A,1332-52492,6.967963387
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,4,B,1332-52493,6.460784314
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,4,C,1332-66960,5.671568627
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,5,A,1332-52475,6.978494624
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,5,B,1332-52476,7.155913978
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,6,A,1332-66961,6.080645161
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,7,A,1332-66954,8.56372549
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,7,B,1332-66955,7.663716814
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,8,A,1332-66956,5.959064327
PINWR,COTE,2016,Rosey Meadow South Plot,Fenced Plot,8,B,1332-66957,8.221238938
