Island Alpha,Aou,Year,Plot,Productivity_Type,Nest,Hatch_Order,BBL_Number,LGR
STRATT,COTE,2016,A Plot,Fenced Plot,1,A1,1332-52694,7.413533835
STRATT,COTE,2016,A Plot,Fenced Plot,3,A,1332-52695,4.389344262
STRATT,COTE,2016,A Plot,Fenced Plot,3,B,1332-52920,6.56147541
STRATT,COTE,2016,A Plot,Fenced Plot,4,B,1332-52936,4.65
STRATT,COTE,2016,B Plot,Fenced Plot,1,A,1332-52665,5.033834586
STRATT,COTE,2016,B Plot,Fenced Plot,1,B,1332-52666,5.458646617
STRATT,COTE,2016,B Plot,Fenced Plot,2,A,1332-52659,7.605095541
STRATT,COTE,2016,B Plot,Fenced Plot,2,B,1332-52660,6.891719745
STRATT,COTE,2016,B Plot,Fenced Plot,2,C,1332-52664,4.896551724
STRATT,COTE,2016,B Plot,Fenced Plot,3,B,1332-52669,5.026315789
STRATT,COTE,2016,B Plot,Fenced Plot,4,A,1332-52693,8.25698324
STRATT,COTE,2016,B Plot,Fenced Plot,4,B,1332-52697,6.143442623
STRATT,COTE,2016,B Plot,Fenced Plot,5,A,1332-52667,6.184210526
STRATT,COTE,2016,B Plot,Fenced Plot,5,B,1332-52696,0.7
STRATT,COTE,2016,B Plot,Fenced Plot,6,A,1332-52930,7
STRATT,COTE,2016,C Plot,Fenced Plot,1,A,1332-72408,6.92481203
STRATT,COTE,2016,C Plot,Fenced Plot,1,B,1332-52663,7.57518797
STRATT,COTE,2016,C Plot,Fenced Plot,2,A,1332-52676,8.007518797
STRATT,COTE,2016,C Plot,Fenced Plot,3,A,1332-52675,5.796992481
STRATT,COTE,2016,C Plot,Fenced Plot,3,B,1332-52690,5.515037594
STRATT,COTE,2016,C Plot,Fenced Plot,4,A,1332-52689,5.135338346
STRATT,COTE,2016,C Plot,Fenced Plot,4,B,1332-52906,4.450819672
STRATT,COTE,2016,C Plot,Fenced Plot,5,A,1332-52905,3.9
STRATT,COTE,2016,C Plot,Fenced Plot,5,B,1332-52918,3.651639344
STRATT,COTE,2016,C Plot,Fenced Plot,6,A,1332-52916,5.81557377
STRATT,COTE,2016,C Plot,Fenced Plot,6,B,1332-52917,5.81147541
STRATT,COTE,2016,D Plot,Fenced Plot,1,A,1332-52683,5.969924812
STRATT,COTE,2016,D Plot,Fenced Plot,1,B,1332-52684,6.522556391
STRATT,COTE,2016,D Plot,Fenced Plot,2,A,1332-52680,7.421052632
STRATT,COTE,2016,D Plot,Fenced Plot,2,B,1332-52687,5.902255639
STRATT,COTE,2016,D Plot,Fenced Plot,3,A,1332-52677,4.492481203
STRATT,COTE,2016,D Plot,Fenced Plot,3,B,1332-52678,6.169172932
STRATT,COTE,2016,D Plot,Fenced Plot,3,C,1332-52908,0.560747664
STRATT,COTE,2016,D Plot,Fenced Plot,4,A,1332-52685,5.327102804
STRATT,COTE,2016,D Plot,Fenced Plot,4,B,1332-52907,4.6
STRATT,COTE,2016,D Plot,Fenced Plot,5,A,1332-52656,6.304511278
STRATT,COTE,2016,D Plot,Fenced Plot,5,B,1332-52661,7.609022556
STRATT,COTE,2016,D Plot,Fenced Plot,6,A,1332-52688,5.676691729
STRATT,COTE,2016,D Plot,Fenced Plot,6,B,1332-52686,5.259398496
STRATT,COTE,2016,D Plot,Fenced Plot,7,A,1332-52914,7.155737705
STRATT,COTE,2016,D Plot,Fenced Plot,7,B,1332-52922,3.95
STRATT,COTE,2016,D Plot,Fenced Plot,8,A,1332-52939,1.857142857
STRATT,COTE,2016,D Plot,Fenced Plot,8,B,1332-52940,4.25
