RegionName,Los Angeles County,San Diego County,Orange County,Riverside County,San Bernardino County,Santa Clara County,Alameda County,Sacramento County,Contra Costa County,Ventura County,San Joaquin County
2010-01,117,103,126,105,105,89,85,96,92,106.5,82
2010-02,125,108,157,110,111,89,84,96,93,115,83
2010-03,116,95,127,118,115,71,77,99,83,100,84
2010-04,103,103,76,123,115,65,74,103,88,91,95
2010-05,84,88,77,112,103,61,66,101,73,89,90
2010-06,91,88,89,102,97,68,72,94,80,87.5,90
2010-07,86,74,86,96,88,64.5,67,91,80,81,94
2010-08,89,80,91,92,93,70,67,96,77.5,91,89
2010-09,91,94,92,98,96,75,76,96,87,95,97
2010-10,97,95,100,95,101,78,80,92,90,108,94
2010-11,97,101,103,94,103,81,84,103,90,107.5,89.5
2010-12,105,105,105,101,103,92,95,100,103,112,98
2011-01,111,109,116,109,112,105,101,94,104,124,100
2011-02,117,111,123,111,119,99,112.5,107,107,121,101
2011-03,112,112,117,109,105.5,84,102,92,102,117,96
2011-04,96,97,94,109,102,64,77,76,77,104,89
2011-05,93,94,94,107,100,64,77.5,81,83,102,91
2011-06,99,99,102,105,97,68,73,90,86,92,86
2011-07,99,101,101,101,96,69,81,99,87,98,86
2011-08,98,98,107,102,102,76,78,85,90,104,84
2011-09,105,97,111,95,100,80,95,85,93,100,89
2011-10,108,103,111,106,103,82,87,91,90,106,88
2011-11,107.5,100,116,106,97,87,83,93,99,109,89
2011-12,111,114,118,101,102,88,90,95,99,109,97
2012-01,113,123,118,107,106.5,101,101,96,93,114,92
2012-02,114,119,121,107,104,88,95.5,99,95,110.5,94
2012-03,112,106,117,105,99,65.5,81,94,89,115.5,99.5
2012-04,97,93,95,97,91,57,67,83,73,94,88.5
2012-05,91,86,90,95,88,54,65,79,69,91,84
2012-06,89,86,86,93,89,52,66,76,70,81,78
2012-07,88,86,83,94,87,54,62.5,85,73,73,80
2012-08,85,86,85,93,84,54,64,84,72,85,86
2012-09,84,89,82,96,92,55,66,90,69,86.5,93
2012-10,84,84,85,91,89,54,64,92,69,66,94
2012-11,81,85,85,85,87,53,62,94,70,64,92
2012-12,87,88,85,91,89,57,68,92,74,80,77
2013-01,91,84,86,97,96,67,79,89,84,95,76
2013-02,88,83,75,87,98,51,70,85,74,79,91
2013-03,74,65,60,85,90,41,51,73,55,65,85
2013-04,67,60,57,81,77,41,46.5,64,49,59,80
2013-05,64,61,57,80,76,42,45,73,48,63,71.5
2013-06,66,58,56,75,75,43,46,67,51,65,71
2013-07,64,58,57,76,74,43,47,60,49,58,62
2013-08,62,57,59,69,69,42,46,57.5,48,59,64.5
2013-09,66,59,65,68,68,45,48,58,48,63,60
2013-10,68,63,69,69,73,47,48,68,55,62,65
