DATE,TIME,Annotation,pH units,ORP mV,Depth m,SpCond uS/cm,HDO mg/l,HDO %Sat,UTC Time,Lat,Long
1/23/2023,17:42:04,,7.31,-2.9,-0.21,1.826,4.86,52.4,1/23/2023 21:53,34.10947,-117.713
1/23/2023,17:42:12,,7.32,-2.7,-0.21,1.826,4.86,52.5,1/23/2023 21:53,34.10948,-117.713
1/23/2023,17:54:45,,7.79,-25,-0.21,0.837,7.58,71.5,,,
1/23/2023,18:44:36,,7.15,-114.2,-0.2,0.805,3.27,30.2,,,
1/23/2023,19:22:08,www,6.93,-13.7,-0.19,0,10.36,101.9,,,
1/23/2023,19:22:24,www,6.91,-12.2,-0.19,0,10.36,101.9,,,
1/23/2023,19:22:34,,6.9,-11.2,-0.19,0,10.36,101.9,,,
2/13/2023,17:54:38,,7.28,92.6,-0.24,0.061,4.38,51.2,2/13/2023 22:06,34.1096,-117.713
2/13/2023,17:57:18,,7.29,92.4,-0.24,0.064,4.4,51.1,2/13/2023 22:08,34.10962,-117.713
2/13/2023,18:16:57,stats2,7.96,98.9,1.45,0.813,4.16,37.3,2/13/2023 22:28,34.10893,-117.712
2/13/2023,18:17:43,,7.95,97.6,1.5,0.814,3.45,30.8,2/13/2023 22:28,34.10895,-117.712
2/13/2023,18:17:56,,7.94,97.3,1.52,0.814,3.26,29.2,2/13/2023 22:29,34.10895,-117.712
2/13/2023,18:20:14,stats3,7.87,-150.9,3.17,0.812,3.12,27.9,2/13/2023 22:31,34.10896,-117.712
2/13/2023,18:23:21,stats4,7.57,-322.3,3.27,0.815,0.67,6,2/13/2023 22:34,34.10894,-117.712
2/13/2023,18:25:43,stats5,7.83,-142.3,0.31,0.815,3.19,29.1,2/13/2023 22:36,34.10905,-117.712
2/13/2023,18:26:52,stats6,7.86,-122.3,1.28,0.814,4.04,36.3,,,
2/13/2023,18:27:36,stats7,7.86,-111.7,3.31,0.814,4.14,36.9,,,
2/13/2023,18:27:59,stats8,7.84,-112.9,5.3,0.82,3.75,33.3,,,
2/13/2023,18:44:48,k1,7.95,-216.5,1.5,0.802,7.91,71.9,2/13/2023 22:56,34.10935,-117.713
2/13/2023,18:52:37,j1,7.7,-266.2,4.45,0.799,3.48,31.2,2/13/2023 23:03,34.10899,-117.712
2/13/2023,18:56:01,j2,7.78,-251.3,5.64,0.824,3.28,29.3,2/13/2023 23:07,34.10905,-117.713
2/13/2023,18:58:34,j3,7.7,-247.8,4.55,0.804,2.72,24.3,2/13/2023 23:09,34.10906,-117.713
2/13/2023,19:01:14,j4,7.71,-293.2,5.58,0.862,2.62,23.4,2/13/2023 23:12,34.1092,-117.713
2/13/2023,19:12:40,j5,7.68,-297.4,3.82,0.784,2.25,20.2,2/13/2023 23:23,34.10927,-117.713
2/13/2023,19:19:50,,7.66,-100.4,-0.24,0,7.95,74.3,2/13/2023 23:30,34.10951,-117.713
2/13/2023,19:19:58,j5,7.44,-99.6,-0.23,0,8,74.8,2/13/2023 23:31,34.10957,-117.713
