Type,Level,Sample Name,Rack,Cap # (marc's IDs),EA30_IDs ,PARK,Partner Names,Replicate,DISTANCE10,DISTANCE66,Vial Number,Na23,Mg24,Al27,K39,Ca44,V51,Cr52,Mn55,56Fe,Co59,Cu63,Zn66,As75,Se78,As75,Se78,Ag107,Cd111,Cd114,Sb121,Ba137,Ba138,Tl205,Pb208,U238
CalBlk,NA,Blank,NA,NA,NA,NA,,,NA,NA,1101,<0.000,0.000357,0.000333,<0.000,<0.000,0.006867,<0.000,0.003945,9.94E-05,<0.000,<0.000,0.031337,0.006108,<0.000,0.002399,<0.000,3.665116,0.001695,<0.000,0.002013,<0.000,<0.000,0.00358,0,0.00173
CalStd,1,Blank,NA,NA,NA,NA,,,NA,NA,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CalStd,2,ECS 50/.05,NA,NA,NA,NA,,,NA,NA,1301,70.14331,66.47477,0.640173,61.4639,50,716.2178,694.117,688.3229,67.44743,679.5688,695.1129,695.0841,648.7039,646.5994,669.9921,626.0683,500,741.0075,718.4025,663.6778,681.0238,688.7145,660.9016,664.466,658.1241
CalStd,3,ECS 500/5,NA,NA,NA,NA,,,NA,NA,1201,497.9857,498.3525,4.985983,498.8536,289.6021,4978.378,4980.588,4981.168,498.2553,4982.043,4980.489,4980.492,4985.13,4985.34,4983.001,4987.393,2001.946,4975.899,4978.16,4983.632,4981.898,4981.129,4983.91,4983.553,4984.188
Sample,NA,Blank,NA,NA,NA,NA,,,NA,NA,1101,0.185514,0.016215,0.002729,0.128836,0.012106,0.168265,0.198757,0.161416,0.020258,0.159674,0.092922,0.248788,0.463766,1.762779,0.411463,1.466645,162.378,0.189516,0.165804,0.367651,0.143157,0.207455,1.102869,0.158189,0.207514
Sample,NA,1,Monday,1,24,Marston,,,1768,970,3101,7.089641,77.55036,158.5659,34.9367,77.44368,484.1167,300.2547,3891.632,228.0716,102.73,287.4704,1172.766,65.59896,40.01176,62.92428,3.823557,432.3681,4.943767,4.752773,1.077742,1013.582,1009.169,1.283386,249.3252,9.88713
Sample,NA,2,Monday,2,27,Marston,,,1768,970,3102,3.18311,83.98065,159.8697,37.72369,76.32777,566.8285,315.3592,4084.125,242.3864,110.5503,300.5103,1190.792,74.92012,41.10794,72.42627,3.793822,116.0526,4.846638,4.695218,1.064508,983.1926,970.6674,1.110297,526.5038,16.65375
Sample,NA,3,Monday,3,28,Blaisdell,Pauline and Lucy,,591,3636,3103,7.471107,73.92181,123.1891,30.26287,75.38326,444.5774,234.9203,3362.525,210.6385,91.02699,228.7233,847.1933,39.67998,34.68942,37.46433,2.941929,11.64134,2.647424,2.571092,0.379953,758.4469,764.4895,0.933295,276.9709,19.69321
Sample,NA,4,Monday,4,31,Blaisdell,xPauline and Lucy,,591,3636,3104,10.18469,79.24249,136.1279,41.47163,79.33021,532.5213,241.1636,3522.806,244.7979,101.3522,232.1329,1011.581,44.17111,39.24194,41.73983,3.055492,2.702228,3.649666,3.525776,0.293701,1124.121,1118.632,1.166603,276.5842,19.04641
Sample,NA,5,Monday,5,36,Blaisdell,Pauline and Lucy,,591,3636,3105,10.22996,53.63194,124.028,41.1919,58.24109,414.2298,179.1035,3166.992,198.56,71.24232,211.5872,939.1176,62.28731,51.47647,59.16777,1.400582,0.483506,3.023096,2.941191,0.166855,1039.267,1036.097,1.212106,289.1998,11.26707
Sample,NA,6,Monday,6,23,Blaisdell,Pauline and Lucy,,591,3636,3106,9.882455,72.72961,113.1474,32.684,80.35794,456.0428,228.9572,3351.296,213.741,92.33368,236.053,980.4222,82.36171,34.87784,85.49965,2.907454,<0.000,3.210567,3.091894,0.340821,848.6516,819.6758,0.973625,278.9217,12.5184
Sample,NA,7,Monday,7,25,Jaeger,,,5480,2700,3107,9.336572,53.62385,142.8703,33.80759,48.12548,509.1772,239.8607,2365.441,194.1504,82.7707,180.4425,730.969,16.7153,41.04804,13.48208,1.585785,<0.000,1.890406,1.870445,0.214861,1344.794,1325.768,1.093532,73.9111,8.180814
Sample,NA,8,Monday,8,5,Marston,,,1768,970,3108,3.176761,80.86497,154.2029,38.71639,84.59093,551.9803,329.7785,4117.927,244.9854,114.0255,277.3058,1122.651,65.70847,41.80806,75.13511,3.825322,<0.000,5.891602,5.718784,0.905791,1004.831,980.0463,1.0682,334.9715,17.53054
Sample,NA,9,Monday,9,S19,Memorial Park,Santi and Emily,,2300,1939,3109,3.037595,61.36356,101.2389,28.58891,66.86735,398.1414,216.4177,2720.317,183.9221,76.72373,218.2864,1065.867,44.62498,29.82925,43.98934,2.505298,<0.000,5.335931,5.429149,1.157889,779.328,765.9251,0.869366,404.5352,13.18826
Sample,NA,10,Monday,10,2,Marston,,,1768,970,3110,8.105804,79.36806,144.2217,35.30956,81.58577,519.7094,294.8617,4215.918,242.3116,113.0461,332.8061,1843.457,67.18565,39.3384,66.58836,2.240545,<0.000,4.679627,4.509384,0.647496,944.1587,921.7231,0.972114,408.7022,10.10258
Sample,NA,11,Monday,11,32,Jaeger,,,5480,2700,3111,8.03335,50.58665,123.0963,30.93812,50.88133,398.9335,222.9218,2308.29,165.9208,71.16857,204.5481,882.6778,16.79473,28.40522,13.48001,1.615349,<0.000,2.682255,2.550895,0.127094,1256.177,1242.488,0.979638,89.07899,8.851572
Sample,NA,12,Monday,12,10,Blaisdell,Pauline and Lucy,,591,3636,3112,2.516241,65.30379,90.9144,25.26506,59.82012,334.4089,199.085,3275.764,173.0204,79.63325,227.5227,792.6391,38.85349,19.72816,41.53731,2.862487,<0.000,2.645872,2.562041,1.180582,732.4249,727.6763,0.785594,215.2488,9.926629
Sample,NA,13,Monday,13,15,Jaeger,,,5480,2700,3301,5.510183,48.56881,144.9706,28.6959,50.1528,436.2578,211.5278,2293.251,166.656,73.2303,194.7042,758.9503,15.69263,33.48508,12.83068,1.697397,<0.000,1.962405,1.918418,0.174921,1185.836,1177.355,0.946699,65.99447,8.41169
Sample,NA,14,Monday,14,47,Jaeger,,,5480,2700,3302,2.924477,80.21463,157.2531,36.86106,78.07585,568.8739,328.7523,4165.08,244.5925,114.0796,290.2956,1520.491,76.35312,39.26808,77.8366,3.637047,<0.000,6.021925,5.752269,0.997293,953.8403,950.265,1.091079,516.5194,19.5295
Sample,NA,15,Monday,15,22,Memorial Park,Santi and Emily,,2300,1939,3303,3.395268,63.33826,113.3349,29.41193,66.24032,394.4385,204.743,2736.665,180.6032,77.72944,192.3693,922.0327,36.96496,29.14187,33.1532,2.022376,<0.000,4.043151,4.154592,1.086543,822.3936,813.7515,0.87155,288.3303,12.95503
CalStd,NA,ECS 50/0.05,NA,NA,NA,NA,,,NA,NA,1301,63.173,60.50057,0.599797,60.02736,47.72237,672.2993,645.0071,654.259,64.71711,649.1382,652.2608,648.4297,610.1825,613.9374,619.3052,597.7991,472.9423,708.1764,679.4252,669.3143,649.6338,633.2745,615.7517,622.5207,610.4948
CalStd,NA,ECS 500/5,NA,NA,NA,NA,,,NA,NA,1201,531.8556,524.1805,5.114522,513.4162,302.0838,5275.584,5101.27,5145.026,515.0028,5205.034,5170.922,4985.514,5037.087,5028.846,4878.91,4835.46,1687.578,5170.711,5047.414,4967.13,5144.679,5166.382,5195.246,5130.795,5223.155
CalBlk,NA,Blank,NA,NA,NA,NA,,,NA,NA,1101,0.097872,0.01732,0.002991,0.139226,0.01229,0.174115,0,0.211443,0.025223,0.184418,<0.000,0.107428,0.325464,1.367614,0.186918,1.000661,99.54412,0.188258,0.164634,0.41466,0.174497,0.213895,0.239071,0.169319,0.238493
Sample,NA,16,Monday,16,S48,Rosa Torrez,Santi and Emily,,1392,2869,3304,4.580669,67.19998,194.7613,26.94697,66.58428,411.8641,259.1441,3300.578,188.5319,81.03671,316.2369,1486.237,54.06113,34.06991,52.6332,2.261316,282.4268,3.701463,3.563052,0.59893,832.0958,830.2218,1.110466,281.5315,9.522645
Sample,NA,17,Monday,17,S30,Memorial Park,Santi and Emily,,2300,1939,3305,3.600363,70.34723,122.5955,28.13949,68.29665,410.2107,203.4975,2786.697,184.7273,76.94947,206.7129,925.7469,35.52033,30.51954,32.63882,2.343392,115.4596,4.534247,4.575563,1.376222,709.3038,716.0682,0.799064,290.3538,14.33266
Sample,NA,18,Monday,18,8,Wheeler Park,Pauline and Lucy,,398,3830,3306,3.695064,61.21355,124.1665,26.46117,82.85428,375.261,250.5734,2794.091,168.1804,72.69174,225.526,1128.817,41.56289,28.44912,37.79498,3.375646,43.80498,4.756507,4.77036,0.792994,802.415,791.0387,0.811946,458.9904,14.29397
Sample,NA,19,Monday,19,26,Marston,,,1768,970,3307,2.885947,82.66553,169.5802,35.58037,74.69081,544.3982,314.6337,4127.427,237.6375,106.9822,262.3105,1392.519,73.99786,38.07417,70.9202,3.704465,39.48428,5.52984,5.383998,1.073413,914.3165,913.7648,0.996683,470.4675,17.18642
Sample,NA,20,Monday,20,S37,Memorial Park,Santi and Emily,,2300,1939,3308,3.419219,64.65576,121.8325,30.37805,65.2559,396.1197,214.7443,2816.865,181.2378,78.89294,276.9925,1091.839,39.4226,30.72005,39.47588,2.523971,33.48784,5.372504,5.399802,1.137902,723.2755,719.21,0.823461,539.4845,12.85664
Sample,NA,21,Monday,21,S4,Rosa Torrez,Santi and Emily,,1392,2869,3309,4.101591,54.8831,122.7525,20.90449,57.75359,333.3092,198.0437,2759.641,156.4119,69.67452,280.4995,1311.075,47.14708,24.12128,45.29541,1.670837,29.51537,3.486659,3.648663,0.834957,841.7501,831.2402,0.873612,233.5114,6.928851
Sample,NA,22,Monday,22,14,Wheeler Park,Pauline and Lucy,,398,3830,3310,3.834306,62.7923,126.9857,25.18343,80.61083,396.8727,226.7954,2928.707,170.3218,74.54557,230.902,1346.189,55.78174,29.81525,53.56592,3.135524,21.71751,4.543718,4.561536,0.878658,905.4717,897.5724,0.880075,415.7976,13.17024
Sample,NA,23,Monday,23,40,Wheeler Park,Pauline and Lucy,,398,3830,3311,3.888293,62.5959,131.4543,29.34265,72.04098,430.8955,222.2312,2949.815,183.0554,79.47438,218.2558,1055.639,60.92733,31.95582,56.95673,2.215984,32.16806,3.818015,3.875784,0.738382,853.3549,856.7657,0.93723,347.6511,12.5248
Sample,NA,24,Monday,24,AG EW S2 CP,,,,NA,NA,3312,4.285635,58.20474,136.206,30.48166,57.06833,399.5949,217.174,2696.554,185.0791,73.49264,354.3536,997.738,50.91405,34.89979,44.39447,3.558098,32.08446,4.948211,4.886281,1.903212,1036.683,1061.389,1.1874,217.6304,14.21464
Sample,NA,25,Monday,25,33,Jaeger,,,5480,2700,3401,,,,,,,,,,,,,,,,,,,,,,,,,
