Sample Date,Trash-Recycle,Location,Bag_No,Initial Weight,Initial Volume
9/23/2019,R,Harwood,1,4.45,
9/23/2019,R,Harwood,3,1.3,
9/23/2019,R,Harwood,6,1.65,
9/23/2019,R,Harwood,4,3.9,
9/23/2019,R,Harwood,2,4.05,
9/23/2019,R,Harwood,8,1.25,
9/23/2019,R,Harwood,7,1.4,
9/23/2019,R,Harwood,5,0.8,
9/23/2019,R,Oldenborg,6,0.95,
9/23/2019,R,Oldenborg,5,2.55,
9/23/2019,R,Oldenborg,3,1.25,
9/23/2019,R,Oldenborg,2,1.5,
9/23/2019,R,Oldenborg,4,3.4,
9/23/2019,R,Dialynas,1,3.5,
9/23/2019,R,Dialynas,2,4.15,
9/23/2019,R,Dialynas,3,2.5,
9/23/2019,R,Dialynas,4,4.1,
9/23/2019,R,Dialynas,5,3.1,
9/23/2019,R,Dialynas,6,1.75,
9/23/2019,R,Dialynas,7,5.75,
9/23/2019,R,Dialynas,8,0.8,
9/23/2019,T,Harwood,1,12,
9/23/2019,T,Harwood,2,10.65,
9/23/2019,T,Harwood,3,3.85,
9/23/2019,T,Harwood,4,6.85,
9/23/2019,T,Harwood,5,4.85,
9/23/2019,T,Harwood,6,5.4,
9/23/2019,T,Harwood,7,4.45,
9/23/2019,T,Harwood,8,5.75,
9/23/2019,T,Oldenborg,1,5.1,
9/23/2019,T,Oldenborg,2,2.25,
9/23/2019,T,Oldenborg,3,6.3,
9/23/2019,T,Oldenborg,4,4.25,
9/23/2019,T,Oldenborg,5,5.15,
9/23/2019,T,Oldenborg,6,2.75,
9/23/2019,T,Oldenborg,7,3.15,
9/23/2019,T,Oldenborg,8,4.45,
9/23/2019,T,Dialynas,1,4.4,
9/23/2019,T,Dialynas,2,5,
9/23/2019,T,Dialynas,3,7.8,
9/23/2019,T,Dialynas,4,43.45,
9/23/2019,T,Dialynas,5,8.3,
9/23/2019,T,Dialynas,6,5.65,
9/23/2019,T,Dialynas,7,6.25,
9/23/2019,T,Dialynas,8,8.05,
9/24/2019,R,Unknown,1,7.15,
9/24/2019,R,Unknown,2,1.7,
9/24/2019,R,Unknown,3,3,
9/24/2019,R,Unknown,4,3,
9/24/2019,R,Unknown,5,2.6,
9/24/2019,R,Unknown,6,2.25,
9/24/2019,R,Unknown,7,0.95,
9/24/2019,R,Unknown,8,1.1,
9/24/2019,R,Unknown,9,1.45,
9/24/2019,R,Unknown,10,3.95,
9/24/2019,T,Unknown,1,2.55,
9/24/2019,T,Unknown,2,3.7,
9/24/2019,T,Unknown,3,1,
9/24/2019,T,Unknown,4,1.9,
9/24/2019,T,Unknown,5,1.05,
9/24/2019,T,Unknown,6,2.15,
9/24/2019,T,Unknown,7,1.85,
9/24/2019,T,Unknown,8,6.35,
9/24/2019,T,Unknown,9,2.9,
9/24/2019,T,Unknown,10,2.15,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
