"year","month","decimal.date","average"
1959,8,1959.6219,314.8
1959,9,1959.7068,313.84
1959,10,1959.789,313.33
1959,11,1959.874,314.81
1959,12,1959.9562,315.58
1960,1,1960.041,316.43
1960,2,1960.1257,316.98
1960,3,1960.2049,317.58
1960,4,1960.2896,319.03
1960,5,1960.3716,320.04
1960,6,1960.4563,319.59
1960,7,1960.5383,318.18
1960,8,1960.623,315.9
1960,9,1960.7077,314.17
1960,10,1960.7896,313.83
1960,11,1960.8743,315
1960,12,1960.9563,316.19
1961,1,1961.0411,316.89
1961,2,1961.126,317.7
1961,3,1961.2027,318.54
1961,4,1961.2877,319.48
1961,5,1961.3699,320.58
1961,6,1961.4548,319.77
1961,7,1961.537,318.57
1961,8,1961.6219,316.79
1961,9,1961.7068,314.99
1961,10,1961.789,315.31
1961,11,1961.874,316.1
1961,12,1961.9562,317.01
1962,1,1962.0411,317.94
1962,2,1962.126,318.55
1962,3,1962.2027,319.68
1962,4,1962.2877,320.57
1962,5,1962.3699,321.02
1962,6,1962.4548,320.62
1962,7,1962.537,319.61
1962,8,1962.6219,317.4
1962,9,1962.7068,316.25
1962,10,1962.789,315.42
1962,11,1962.874,316.69
1962,12,1962.9562,317.7
1963,1,1963.0411,318.74
1963,2,1963.126,319.07
1963,3,1963.2027,319.86
1963,4,1963.2877,321.38
1963,5,1963.3699,322.25
1963,6,1963.4548,321.48
1963,7,1963.537,319.74
1963,8,1963.6219,317.77
1963,9,1963.7068,316.21
1963,10,1963.789,315.99
1963,11,1963.874,317.07
1963,12,1963.9562,318.35
1964,1,1964.041,319.57
1964,2,1964.1257,320.01
1964,3,1964.2049,320.74
1964,4,1964.2896,321.84
1964,5,1964.3716,322.26
1964,6,1964.4563,321.89
1964,7,1964.5383,320.44
1964,8,1964.623,318.69
1964,9,1964.7077,316.7
1964,10,1964.7896,316.87
1964,11,1964.8743,317.68
1964,12,1964.9563,318.71
1965,1,1965.0411,319.44
1965,2,1965.126,320.44
1965,3,1965.2027,320.89
1965,4,1965.2877,322.14
1965,5,1965.3699,322.17
1965,6,1965.4548,321.87
1965,7,1965.537,321.21
1965,8,1965.6219,318.87
1965,9,1965.7068,317.81
1965,10,1965.789,317.3
1965,11,1965.874,318.87
1965,12,1965.9562,319.42
1966,1,1966.0411,320.62
1966,2,1966.126,321.6
1966,3,1966.2027,322.39
1966,4,1966.2877,323.7
1966,5,1966.3699,324.08
1966,6,1966.4548,323.75
1966,7,1966.537,322.38
1966,8,1966.6219,320.36
1966,9,1966.7068,318.64
1966,10,1966.789,318.1
1966,11,1966.874,319.78
1966,12,1966.9562,321.03
1967,1,1967.0411,322.33
1967,2,1967.126,322.5
1967,3,1967.2027,323.04
1967,4,1967.2877,324.42
1967,5,1967.3699,325
1967,6,1967.4548,324.09
1967,7,1967.537,322.54
1967,8,1967.6219,320.92
1967,9,1967.7068,319.25
1967,10,1967.789,319.39
1967,11,1967.874,320.73
1967,12,1967.9562,321.96
1968,1,1968.041,322.57
1968,2,1968.1257,323.15
1968,3,1968.2049,323.89
1968,4,1968.2896,325.02
1968,5,1968.3716,325.57
1968,6,1968.4563,325.36
1968,7,1968.5383,324.14
1968,8,1968.623,322.11
1968,9,1968.7077,320.33
1968,10,1968.7896,320.25
1968,11,1968.8743,321.32
1968,12,1968.9563,322.89
1969,1,1969.0411,324
1969,2,1969.126,324.42
1969,3,1969.2027,325.63
1969,4,1969.2877,326.66
1969,5,1969.3699,327.38
1969,6,1969.4548,326.71
1969,7,1969.537,325.88
1969,8,1969.6219,323.66
1969,9,1969.7068,322.38
1969,10,1969.789,321.78
1969,11,1969.874,322.86
1969,12,1969.9562,324.12
1970,1,1970.0411,325.06
1970,2,1970.126,325.98
1970,3,1970.2027,326.93
1970,4,1970.2877,328.13
1970,5,1970.3699,328.08
1970,6,1970.4548,327.67
1970,7,1970.537,326.34
1970,8,1970.6219,324.69
1970,9,1970.7068,323.1
1970,10,1970.789,323.06
1970,11,1970.874,324.01
1970,12,1970.9562,325.13
1971,1,1971.0411,326.17
1971,2,1971.126,326.68
1971,3,1971.2027,327.17
1971,4,1971.2877,327.79
1971,5,1971.3699,328.93
1971,6,1971.4548,328.57
1971,7,1971.537,327.36
1971,8,1971.6219,325.43
1971,9,1971.7068,323.36
1971,10,1971.789,323.56
1971,11,1971.874,324.8
1971,12,1971.9562,326.01
1972,1,1972.041,326.77
1972,2,1972.1257,327.63
1972,3,1972.2049,327.75
1972,4,1972.2896,329.72
1972,5,1972.3716,330.07
1972,6,1972.4563,329.09
1972,7,1972.5383,328.04
1972,8,1972.623,326.32
1972,9,1972.7077,324.84
1972,10,1972.7896,325.2
1972,11,1972.8743,326.5
1972,12,1972.9563,327.55
1973,1,1973.0411,328.55
1973,2,1973.126,329.56
1973,3,1973.2027,330.3
1973,4,1973.2877,331.5
1973,5,1973.3699,332.48
1973,6,1973.4548,332.07
1973,7,1973.537,330.87
1973,8,1973.6219,329.31
1973,9,1973.7068,327.51
1973,10,1973.789,327.18
1973,11,1973.874,328.16
1973,12,1973.9562,328.64
1974,1,1974.0411,329.35
1974,2,1974.126,330.71
1974,3,1974.2027,331.48
1974,4,1974.2877,332.65
1974,5,1974.375,333.19
1974,6,1974.4583,332.16
1974,7,1974.5417,331.07
1974,8,1974.625,329.12
1974,9,1974.7083,327.32
1974,10,1974.7917,327.28
1974,11,1974.875,328.3
1974,12,1974.9583,329.58
1975,1,1975.0417,330.73
1975,2,1975.125,331.46
1975,3,1975.2083,331.9
1975,4,1975.2917,333.17
1975,5,1975.375,333.94
1975,6,1975.4583,333.45
1975,7,1975.5417,331.97
1975,8,1975.625,329.95
1975,9,1975.7083,328.5
1975,10,1975.7917,328.35
1975,11,1975.875,329.37
1975,12,1975.9583,330.64
1976,1,1976.0417,331.59
1976,2,1976.125,332.75
1976,3,1976.2083,333.52
1976,4,1976.2917,334.64
1976,5,1976.375,334.77
1976,6,1976.4583,334
1976,7,1976.5417,333.06
1976,8,1976.625,330.68
1976,9,1976.7083,328.95
1976,10,1976.7917,328.75
1976,11,1976.875,330.15
1976,12,1976.9583,331.62
1977,1,1977.0417,332.66
1977,2,1977.125,333.13
1977,3,1977.2083,334.95
1977,4,1977.2917,336.13
1977,5,1977.375,336.93
1977,6,1977.4583,336.17
1977,7,1977.5417,334.88
1977,8,1977.625,332.56
1977,9,1977.7083,331.29
1977,10,1977.7917,331.27
1977,11,1977.875,332.41
1977,12,1977.9583,333.6
1978,1,1978.0417,334.95
1978,2,1978.125,335.25
1978,3,1978.2083,336.66
1978,4,1978.2917,337.69
1978,5,1978.375,338.03
1978,6,1978.4583,338.01
1978,7,1978.5417,336.4
1978,8,1978.625,334.42
1978,9,1978.7083,332.37
1978,10,1978.7917,332.41
1978,11,1978.875,333.75
1978,12,1978.9583,334.9
1979,1,1979.0417,336.14
1979,2,1979.125,336.68
1979,3,1979.2083,338.27
1979,4,1979.2917,338.95
1979,5,1979.375,339.21
1979,6,1979.4583,339.26
1979,7,1979.5417,337.54
1979,8,1979.625,335.75
1979,9,1979.7083,333.98
1979,10,1979.7917,334.19
1979,11,1979.875,335.31
1979,12,1979.9583,336.81
1980,1,1980.0417,337.9
1980,2,1980.125,338.34
1980,3,1980.2083,340.01
1980,4,1980.2917,340.93
1980,5,1980.375,341.48
1980,6,1980.4583,341.32
1980,7,1980.5417,339.4
1980,8,1980.625,337.7
1980,9,1980.7083,336.19
1980,10,1980.7917,336.15
1980,11,1980.875,337.27
1980,12,1980.9583,338.32
1981,1,1981.0417,339.29
1981,2,1981.125,340.55
1981,3,1981.2083,341.61
1981,4,1981.2917,342.53
1981,5,1981.375,343.03
1981,6,1981.4583,342.54
1981,7,1981.5417,340.78
1981,8,1981.625,338.44
1981,9,1981.7083,336.95
1981,10,1981.7917,337.08
1981,11,1981.875,338.58
1981,12,1981.9583,339.88
1982,1,1982.0417,340.96
1982,2,1982.125,341.73
1982,3,1982.2083,342.81
1982,4,1982.2917,343.97
1982,5,1982.375,344.63
1982,6,1982.4583,343.79
1982,7,1982.5417,342.32
1982,8,1982.625,340.09
1982,9,1982.7083,338.28
1982,10,1982.7917,338.29
1982,11,1982.875,339.6
1982,12,1982.9583,340.9
1983,1,1983.0417,341.68
1983,2,1983.125,342.9
1983,3,1983.2083,343.33
1983,4,1983.2917,345.25
1983,5,1983.375,346.03
1983,6,1983.4583,345.63
1983,7,1983.5417,344.19
1983,8,1983.625,342.27
1983,9,1983.7083,340.35
1983,10,1983.7917,340.38
1983,11,1983.875,341.59
1983,12,1983.9583,343.05
1984,1,1984.0417,344.1
1984,2,1984.125,344.79
1984,3,1984.2083,345.52
1984,4,1984.2917,346.98
1984,5,1984.375,347.63
1984,6,1984.4583,346.98
1984,7,1984.5417,345.53
1984,8,1984.625,343.55
1984,9,1984.7083,341.4
1984,10,1984.7917,341.67
1984,11,1984.875,343.07
1984,12,1984.9583,344.7
1985,1,1985.0417,345.21
1985,2,1985.125,346.16
1985,3,1985.2083,347.74
1985,4,1985.2917,348.34
1985,5,1985.375,349.06
1985,6,1985.4583,348.38
1985,7,1985.5417,346.71
1985,8,1985.625,345.02
1985,9,1985.7083,343.27
1985,10,1985.7917,343.13
1985,11,1985.875,344.49
1985,12,1985.9583,345.88
1986,1,1986.0417,346.56
1986,2,1986.125,347.28
1986,3,1986.2083,348.07
1986,4,1986.2917,349.8
1986,5,1986.375,350.44
1986,6,1986.4583,349.93
1986,7,1986.5417,348.16
1986,8,1986.625,346.07
1986,9,1986.7083,345.22
1986,10,1986.7917,344.52
1986,11,1986.875,345.92
1986,12,1986.9583,347.22
1987,1,1987.0417,348.46
1987,2,1987.125,348.73
1987,3,1987.2083,349.73
1987,4,1987.2917,351.31
1987,5,1987.375,352.06
1987,6,1987.4583,351.52
1987,7,1987.5417,350.11
1987,8,1987.625,348.03
1987,9,1987.7083,346.52
1987,10,1987.7917,346.59
1987,11,1987.875,347.96
1987,12,1987.9583,349.16
1988,1,1988.0417,350.39
1988,2,1988.125,351.64
1988,3,1988.2083,352.4
1988,4,1988.2917,353.69
1988,5,1988.375,354.21
1988,6,1988.4583,353.75
1988,7,1988.5417,352.69
1988,8,1988.625,350.4
1988,9,1988.7083,348.92
1988,10,1988.7917,349.13
1988,11,1988.875,350.2
1988,12,1988.9583,351.41
1989,1,1989.0417,352.91
1989,2,1989.125,353.28
1989,3,1989.2083,353.97
1989,4,1989.2917,355.64
1989,5,1989.375,355.86
1989,6,1989.4583,355.37
1989,7,1989.5417,353.99
1989,8,1989.625,351.81
1989,9,1989.7083,350.05
1989,10,1989.7917,350.25
1989,11,1989.875,351.49
1989,12,1989.9583,352.85
1990,1,1990.0417,353.8
1990,2,1990.125,355.04
1990,3,1990.2083,355.73
1990,4,1990.2917,356.31
1990,5,1990.375,357.32
1990,6,1990.4583,356.34
1990,7,1990.5417,354.84
1990,8,1990.625,353.01
1990,9,1990.7083,351.31
1990,10,1990.7917,351.62
1990,11,1990.875,353.07
1990,12,1990.9583,354.33
1991,1,1991.0417,354.84
1991,2,1991.125,355.73
1991,3,1991.2083,357.23
1991,4,1991.2917,358.66
1991,5,1991.375,359.13
